policy,seed,traffic_model,tasks,edge_pct,cloud_pct,avg_latency,p95_latency,avg_energy,violation_pct,avg_edge_backlog,avg_cloud_backlog,edge_pred_mae,edge_naive_mae,cloud_pred_mae,cloud_naive_mae,arima_pred_mae,arima_naive_mae,burst_tasks,burst_violation_pct,burst_avg_latency,calm_tasks,calm_violation_pct,calm_avg_latency
reactive,19,ramped,500,68.2,31.8,0.5379323782210961,1.5326662772611774,0.36310951838551236,5.4,0.5459389887152778,0.012576647685185186,0.41131683614426673,0.30018710069444443,0.035827510631036244,0.02289868888888889,0.0,0.0,369,7.046070460704607,0.6041219186684258,131,0.7633587786259542,0.3514900848999916
naive_persistence,19,ramped,500,67.0,33.0,0.5435862649846205,1.5461401666666663,0.36377231780259234,5.2,0.5459361371527778,0.01299080138888889,0.4224754295950689,0.3064346440972222,0.03650478856734665,0.024182606944444445,0.0,0.0,369,7.046070460704607,0.611055744013269,131,0.0,0.35353864848407607
arima,19,ramped,500,66.8,33.2,0.5431923804554901,1.5461401666666663,0.364213684758201,5.2,0.5454724392361111,0.013052627777777777,0.4230809991304024,0.3064346440972222,0.03652148042353874,0.024182606944444445,0.30695802918635307,0.3064346440972222,369,7.046070460704607,0.6105220251391088,131,0.0,0.35353864848407607
predictive,19,ramped,500,66.8,33.2,0.5424596884843145,1.5461401666666663,0.3643192106460798,5.2,0.5423503723958334,0.013377494907407408,0.4193711393984904,0.30401043055555554,0.037282954058795705,0.024832341203703704,0.0,0.0,369,7.046070460704607,0.6100999208476336,131,0.0,0.3519310950334384
edge_only,42,ramped,500,100.0,0.0,1.4547115616666662,3.5203719374999975,0.26604310687500005,45.0,1.2183120292887024,0.0,0.4003026541421325,0.31375597803347277,0.02927850980534243,0.0,0.0,0.0,377,49.07161803713528,1.5928665395667547,123,32.520325203252035,1.0312609383468831
cloud_only,42,ramped,500,0.0,100.0,0.8141765336237565,2.367839735098545,0.8669623922452423,14.4,0.0,0.07527755555555556,0.12234234454375228,0.0,0.09833240081996117,0.09676777545327755,0.0,0.0,377,18.83289124668435,0.9309812450212349,123,0.8130081300813008,0.4561653450314854
threshold,42,ramped,500,79.8,20.2,0.5380850224052671,2.289807352582869,0.5080094642544185,11.0,0.17033872820781032,0.039232268014876795,0.22032291817988436,0.1682506642259414,0.10859429688019615,0.06476209437470944,0.0,0.0,377,13.52785145888594,0.5939738249627995,123,3.252032520325203,0.36678357066388706
reactive,42,ramped,500,71.8,28.2,0.5137231712186556,1.4803084724503572,0.34317343205489137,3.6,0.49068844142259416,0.01311445839144584,0.3857949293815208,0.2778938842398884,0.03524221215269694,0.021265714551371454,0.0,0.0,377,4.774535809018568,0.5696107644284858,123,0.0,0.3424254261771435
naive_persistence,42,ramped,500,70.2,29.8,0.5104398216125742,1.4803084724503572,0.3466852639245342,3.8,0.48468914051603906,0.013808209902370989,0.3867996626074051,0.27808018131101814,0.03588336387116126,0.02218127615062761,0.0,0.0,377,5.039787798408488,0.5668146446320559,123,0.0,0.3376486973983904
arima,42,ramped,500,70.2,29.8,0.5107756864182265,1.4803084724503572,0.3459723266263303,3.8,0.48872896007670846,0.013400379823337982,0.3881253913488106,0.2788972576708507,0.03511706815698459,0.021829298465829844,0.2783538367711105,0.2788972576708507,377,5.039787798408488,0.5668146446320559,123,0.0,0.33901400148640776
predictive,42,ramped,500,69.6,30.4,0.5027464738768909,1.408041784936978,0.34737131565356283,3.6,0.4724896766039052,0.013969740585774059,0.38702397876164635,0.2758933246164575,0.03683242617376743,0.02340651743375174,0.0,0.0,377,4.774535809018568,0.5565125976966687,123,0.0,0.3379511187544819
edge_only,101,ramped,500,100.0,0.0,1.773463460833333,4.688787124999999,0.298369577625,49.4,1.6857706245557922,0.0,0.4325685031041362,0.349098658493248,0.03109233762824826,0.0,0.0,0.0,392,52.295918367346935,1.837872100340135,108,38.888888888888886,1.5396839544753098
cloud_only,101,ramped,500,0.0,100.0,0.9127990541967753,2.4080841945991915,0.9885997821233006,16.8,0.0,0.08423491613361762,0.12992155366089453,0.0,0.11145168493030683,0.10593951504382847,0.0,0.0,392,21.428571428571427,1.041048869447786,108,0.0,0.4472997247671813
threshold,101,ramped,500,76.8,23.2,0.6320797023305745,2.401653516160008,0.5922670333926853,12.4,0.2243203642501777,0.04462067709073679,0.2598190485537047,0.19526721126510305,0.11891384346003678,0.07430278583274105,0.0,0.0,392,15.816326530612244,0.7140080844181417,108,0.0,0.33471001919792315
reactive,101,ramped,500,68.0,32.0,0.6345056214076816,1.7485562388595728,0.40904203179719206,5.8,0.6169116151385928,0.01853273679222933,0.42714343643980307,0.3088600613006397,0.047268038725347954,0.029203985311537548,0.0,0.0,392,7.3979591836734695,0.7268668688354949,108,0.0,0.2992685011141376
naive_persistence,101,ramped,500,65.8,34.2,0.6444275897454627,1.8442023958333313,0.4093432680365686,5.8,0.6496100373134328,0.017806678038379528,0.44267103884850856,0.31915849058280027,0.04475566337245455,0.02839697654584222,0.0,0.0,392,7.3979591836734695,0.7386628718787794,108,0.0,0.30238841755786844
arima,101,ramped,500,65.8,34.2,0.6450173647689853,1.8442023958333313,0.40852586001924257,5.8,0.6503432738095238,0.017861087183131962,0.4422738148945632,0.31952336620469085,0.0451636530327087,0.028505794835347077,0.32179754973861896,0.31952336620469085,392,7.3979591836734695,0.7393366899017462,108,0.0,0.3026731476204465
predictive,101,ramped,500,65.6,34.4,0.6419385325073392,1.7978339583333334,0.4116978238958045,5.8,0.6379562348969439,0.018583893390191897,0.439712498054856,0.31610717572850033,0.04631345817553234,0.029110497038616442,0.0,0.0,392,7.3979591836734695,0.7357139222205946,108,0.0,0.3015685994740419
edge_only,123,ramped,500,100.0,0.0,1.1463725216666665,3.295305458333333,0.260456280875,36.0,0.9525976859364432,0.0,0.3867096123438314,0.30248491041244085,0.029309467444439234,0.0,0.0,0.0,371,38.81401617250674,1.2450505795148246,129,27.906976744186046,0.8625774870801031
cloud_only,123,ramped,500,0.0,100.0,0.7987291982357924,2.194919585394947,0.8561893798212706,16.4,0.0,0.0705289046653144,0.12247170324997825,0.0,0.09942287518154638,0.09500397115167908,0.0,0.0,371,21.83288409703504,0.9140296261292133,129,0.7751937984496124,0.46712874282138006
threshold,123,ramped,500,80.0,20.0,0.5404659499906762,2.1537659495680845,0.5089051188251602,10.8,0.15643973123732252,0.038254289610096914,0.21841532230534935,0.16566885395537526,0.10665166414913783,0.06141370926301556,0.0,0.0,371,12.668463611859838,0.5950760069116074,129,5.426356589147287,0.383409119621176
reactive,123,ramped,500,71.8,28.2,0.4807497911233496,1.3322255208333327,0.33202339789729274,4.4,0.46361896974306965,0.009960668469686726,0.39299246534904725,0.28598946416497634,0.029168801436883735,0.017295244985350462,0.0,0.0,371,5.660377358490566,0.537208914705018,129,0.7751937984496124,0.31837510237296995
naive_persistence,123,ramped,500,70.6,29.4,0.4792587556872163,1.3528203079901202,0.33295107026017684,4.4,0.45786585953346853,0.010734055668244308,0.39117615290652125,0.28401111899932385,0.03031176958761596,0.01865039756592292,0.0,0.0,371,5.660377358490566,0.5354453840653705,129,0.7751937984496124,0.3176677546926798
arima,123,ramped,500,71.0,29.0,0.4796597840436813,1.3528203079901202,0.33263783344680803,4.4,0.4620169481068289,0.010188860265945461,0.39380137077480043,0.28631662947937797,0.02895561810176666,0.017564565697543385,0.28455235005466223,0.28631662947937797,371,5.660377358490566,0.5358694805247352,129,0.7751937984496124,0.31800243990049526
predictive,123,ramped,500,70.4,29.6,0.4782120427349339,1.3528203079901202,0.33262877753749315,4.4,0.45377456473968897,0.011392189317106154,0.3886572715564713,0.2816456237322515,0.03193386983307993,0.019847427541131394,0.0,0.0,371,5.660377358490566,0.5351036933089531,129,0.7751937984496124,0.3145934197662431
edge_only,256,ramped,500,100.0,0.0,0.8660493591666666,2.2229565625,0.26128552975,25.6,0.7304884780439121,0.0,0.38049125707798775,0.30282615851630074,0.02841970059964387,0.0,0.0,0.0,401,27.68079800498753,0.9008030351205321,99,17.171717171717173,0.7252794191919193
cloud_only,256,ramped,500,0.0,100.0,0.8013864734393559,2.2664652355016894,0.8717321381838593,12.2,0.0,0.06767723087159015,0.11875374893422616,0.0,0.09681441157030905,0.09503621401641162,0.0,0.0,401,14.463840399002494,0.8907323276002863,99,3.0303030303030303,0.4394906399188195
threshold,256,ramped,500,82.4,17.6,0.5483690529302685,2.2324311494953295,0.4954108192910341,10.6,0.1930792639720559,0.03161344000887115,0.246982342278955,0.19323530522288757,0.09742705190119079,0.05293237791084498,0.0,0.0,401,12.718204488778055,0.5979130644239022,99,2.0202020202020203,0.3476907841530247
reactive,256,ramped,500,75.0,25.0,0.4799072551991021,1.4204127291666666,0.3248249781717202,3.8,0.45738018463073854,0.009634185850521181,0.37824574200296635,0.27962980622089156,0.03149211236427364,0.01856188112663562,0.0,0.0,401,4.488778054862843,0.5241439102716479,99,1.0101010101010102,0.3007264604103058
naive_persistence,256,ramped,500,74.2,25.8,0.4778421452583543,1.4204127291666666,0.32534148231047777,3.8,0.45690853293413175,0.009917825238412064,0.38071150102404716,0.28112759896872924,0.031591305557734185,0.019111642049234864,0.0,0.0,401,4.488778054862843,0.5221981813431329,99,1.0101010101010102,0.2981777970765742
arima,256,ramped,500,73.8,26.2,0.4776198612637094,1.4204127291666666,0.3257580263042634,3.8,0.4549839254823686,0.01026754890219561,0.38161033539502004,0.28133678226879577,0.03225353312792069,0.01981108937680195,0.2792290751875628,0.28133678226879577,401,4.488778054862843,0.5221981813431329,99,1.0101010101010102,0.297055150638974
predictive,256,ramped,500,73.0,27.0,0.4778741484138583,1.4204127291666666,0.3271657911904695,3.8,0.45331208832335335,0.010727259037480594,0.3824722046533022,0.281137381071191,0.03294939272953924,0.020549944555333776,0.0,0.0,401,4.488778054862843,0.5230298970245493,99,1.0101010101010102,0.2949705606069179
edge_only,314,ramped,500,100.0,0.0,1.5625880083333337,4.329265208333337,0.27389256562500003,43.8,1.3669705609631149,0.0,0.4020625756824751,0.3264880618169399,0.029348781225266764,0.0,0.0,0.0,378,44.70899470899471,1.6416361662257497,122,40.98360655737705,1.3176683060109293
cloud_only,314,ramped,500,0.0,100.0,0.8675655672072458,2.430043218820675,0.9264536372196238,17.6,0.0,0.07661566279599272,0.12263597869129327,0.0,0.10416579042137901,0.09750917759562841,0.0,0.0,378,22.486772486772487,1.0048108727544391,122,2.459016393442623,0.442330112315122
threshold,314,ramped,500,79.2,20.8,0.6099307790932493,2.2990077107285125,0.5340304329060784,13.6,0.20293470457650276,0.03924623861566485,0.2293212477894825,0.17159592213114755,0.10773191527648387,0.064924706284153,0.0,0.0,378,17.46031746031746,0.6984142395300694,122,1.639344262295082,0.3357771065922822
reactive,314,ramped,500,67.2,32.8,0.579574904705586,1.7740565818023113,0.3967468811441442,5.8,0.5291421772540984,0.016349903233151185,0.3909455906152853,0.2759117042349727,0.03999943152137249,0.026526140255009108,0.0,0.0,378,7.671957671957672,0.6673978972483721,122,0.0,0.3074675999418722
