traffic_model,series,forecaster,seed,mae,mse,rmse,smape,dir_acc,count
step,cloud,simple_exp_smooth,101,0.026124238591320383,0.004362997745724156,0.06605299195134279,172.13788667488456,74.5,416
step,cloud,simple_exp_smooth,123,0.020112943437611025,0.0020740512694386835,0.04554175303431658,174.16639653949946,77.5,417
step,cloud,arima_1_1_0,7,0.021888234507441647,0.0034996882461700695,0.059158162971563524,84.553013566082,69.94535519125684,503
step,cloud,arima_1_1_0,19,0.018533219733881,0.002208639587266158,0.046996165665574866,96.81107497532724,67.72486772486772,452
step,cloud,arima_1_1_0,42,0.018419706642317416,0.002384735668817602,0.048833755424067087,87.6765908949292,69.8224852071006,436
step,cloud,arima_1_1_0,101,0.027176516347103757,0.005553071108314434,0.07451893120754238,100.06233927295807,78.06122448979592,411
step,cloud,arima_1_1_0,123,0.02141604505543581,0.0026853572600863806,0.051820432843487335,106.41286791661621,69.54314720812182,412
ramped,edge,holt_winters,7,0.2832088832987695,0.1357277213105091,0.36841243370780674,105.18260615682725,53.36225596529284,521
ramped,edge,holt_winters,19,0.30630655680471414,0.16591705191148085,0.4073291689917147,94.33015050592823,46.403712296983755,474
ramped,edge,holt_winters,42,0.28192110445035123,0.1474181838904655,0.38395075711667176,97.71425855693282,47.61904761904762,472
ramped,edge,holt_winters,101,0.31271674473711764,0.16080008825313197,0.4009988631569072,90.72414949929457,46.15384615384615,463
ramped,edge,holt_winters,123,0.2893992232907324,0.1454470753677116,0.38137524220603464,104.46942317368958,50.779510022271715,487
ramped,edge,naive_persistence,7,0.28622503010139416,0.13819121129317305,0.3717407850817193,95.18887023275052,59.871244635193136,526
ramped,edge,naive_persistence,19,0.30081379610299236,0.160200751497597,0.40025086070812765,90.56566467904887,61.29032258064516,479
ramped,edge,naive_persistence,42,0.2784694566736548,0.14316681957768534,0.3783739150333772,91.04577047752224,60.94117647058823,477
ramped,edge,naive_persistence,101,0.3094936636396011,0.1556285884943402,0.39449789415704134,89.50078112365759,60.879629629629626,468
ramped,edge,naive_persistence,123,0.2865707435636856,0.14147664814545857,0.3761338168065437,101.0995681664995,60.264900662251655,492
ramped,edge,simple_exp_smooth,7,0.32452913170825776,0.177281440367387,0.4210480262005594,106.76270053283956,59.05172413793103,524
ramped,edge,simple_exp_smooth,19,0.34428145011745903,0.19299423531748772,0.43931109173055,98.70234492023717,57.967667436489606,477
ramped,edge,simple_exp_smooth,42,0.3189722864960397,0.17600790560061141,0.4195329612802925,102.89553197664883,58.86524822695036,475
ramped,edge,simple_exp_smooth,101,0.3569737548976234,0.21210163998334797,0.4605449380715719,95.77340458193625,58.0046403712297,466
ramped,edge,simple_exp_smooth,123,0.308811413530755,0.16901515307850068,0.4111145255017155,101.60996315558798,60.84070796460177,490
ramped,edge,arima_1_1_0,7,0.28558001344388695,0.13846674013731086,0.37211119324378145,101.73127662756424,52.17391304347826,519
ramped,edge,arima_1_1_0,19,0.30414624283486447,0.16137794306417108,0.4017187362622897,97.04716983415874,51.282051282051285,472
ramped,edge,arima_1_1_0,42,0.27979201183743335,0.14384890808472747,0.3792741858929071,98.09162240674938,51.07398568019093,470
ramped,edge,arima_1_1_0,101,0.31316314855004856,0.1590600163660775,0.3988232896485328,93.83097509420809,49.64871194379391,461
ramped,edge,arima_1_1_0,123,0.28524116680828016,0.14149865526411917,0.3761630700429259,105.87804482849391,56.59955257270693,485
ramped,cloud,holt_winters,7,0.02203322540140745,0.00300371758250697,0.054806181973450496,170.1765265656246,64.04494382022472,521
ramped,cloud,holt_winters,19,0.024003659168688223,0.0025598757868150832,0.05059521505849227,171.5769930428039,62.926829268292686,474
ramped,cloud,holt_winters,42,0.020129901042827292,0.0026340139402043013,0.05132264549109195,162.50917364957309,66.87898089171975,472
ramped,cloud,holt_winters,101,0.03180354196509695,0.003936005963135477,0.06273759608986845,165.43227836895502,71.35678391959799,463
