policy,seed,traffic_model,tasks,edge_pct,cloud_pct,avg_latency,p95_latency,avg_energy,violation_pct,avg_edge_backlog,avg_cloud_backlog,edge_pred_mae,edge_naive_mae,cloud_pred_mae,cloud_naive_mae,arima_pred_mae,arima_naive_mae,burst_tasks,burst_violation_pct,burst_avg_latency,calm_tasks,calm_violation_pct,calm_avg_latency
arima,101,step,500,63.2,36.8,0.7761904376927008,2.1306281689846793,0.467030104532313,11.2,0.8719842760540969,0.018679590294351633,0.48458234776091424,0.3377074015513127,0.04379340205187085,0.030092306549986743,0.3398391916525957,0.3377074015513127,382,12.827225130890053,0.84007726989062,118,5.932203389830509,0.5693703537977425
predictive,101,step,500,63.4,36.6,0.7684899407498531,2.0788834181031564,0.4662478331050761,10.8,0.8511716706443911,0.01918822699549191,0.4832545746862062,0.3364532189737471,0.045252991827361186,0.031102217448952533,0.0,0.0,382,12.303664921465968,0.8307401076617615,118,5.932203389830509,0.5669682139672338
edge_only,123,step,500,100.0,0.0,1.4925098266666665,3.8661373750000005,0.260456280875,48.4,1.4000804047619049,0.0,0.4351415502717468,0.34082528869047624,0.03473973411225283,0.0,0.0,0.0,355,52.394366197183096,1.604145643192488,145,38.62068965517241,1.2191945517241378
cloud_only,123,step,500,0.0,100.0,0.9315766681118888,2.5616471053354797,1.0220122793089021,23.6,0.0,0.08225852460317461,0.1451624603976279,0.0,0.11041915758044885,0.10495270952380951,0.0,0.0,355,30.422535211267604,1.0785966794730395,145,6.896551724137931,0.5716311230552787
threshold,123,step,500,79.6,20.4,0.627827041120762,2.5241482422357295,0.582032563014845,14.4,0.2161226150793651,0.04329934259259259,0.2427547769750099,0.17617314880952384,0.11845869813808572,0.06914765767195767,0.0,0.0,355,18.591549295774648,0.7105867567739869,145,4.137931034482759,0.42520842693528016
reactive,123,step,500,65.6,34.4,0.610294358142784,1.8739850416666657,0.3819841021033853,8.6,0.6900788988095239,0.012360028306878306,0.4695141596830121,0.3238912420634921,0.0323970618231976,0.021234574074074076,0.0,0.0,355,10.704225352112676,0.6830252876807983,145,3.4482758620689653,0.4322289789290248
naive_persistence,123,step,500,65.0,35.0,0.6042914313728965,1.8412862916666664,0.3839785478083836,8.2,0.6775777500000001,0.013379905026455027,0.4663938207771454,0.3233188035714286,0.03503955190640806,0.02324985502645503,0.0,0.0,355,10.140845070422536,0.6747072587412923,145,3.4482758620689653,0.431894060919238
arima,123,step,500,65.2,34.8,0.6066021522057998,1.8607839999999987,0.38199011223526336,8.4,0.6849448184523809,0.01300056216931217,0.46867162222285036,0.3231336706349206,0.03446323249399541,0.022532024867724865,0.32447032515231405,0.3231336706349206,355,10.422535211267606,0.6789510035582303,145,3.4482758620689653,0.4294722057912286
predictive,123,step,500,64.0,36.0,0.6011865374529468,1.8412862916666664,0.3856814034964597,8.0,0.672026810515873,0.01384173439153439,0.46609251175775435,0.32093055952380956,0.03589648006975916,0.024151513756613757,0.0,0.0,355,9.859154929577464,0.6727344813387319,145,3.4482758620689653,0.4260174334567139
edge_only,256,step,500,100.0,0.0,0.9720160883333334,2.626088624999996,0.26128552975,25.2,0.8456454430811182,0.0,0.38178760310951865,0.3101032813565099,0.028224942596255014,0.0,0.0,0.0,349,28.36676217765043,1.0487584789875837,151,17.880794701986755,0.7946446026490067
cloud_only,256,step,500,0.0,100.0,0.8938231413334541,2.3993617119995294,0.986670745632701,16.6,0.0,0.06947187661895025,0.11793993870577989,0.0,0.09396551427450231,0.0925095548738923,0.0,0.0,349,21.77650429799427,1.0187112348036103,151,4.635761589403973,0.6051745014587222
threshold,256,step,500,82.2,17.8,0.5638874027568552,2.3559684444058333,0.5317482402398955,11.8,0.18618220006816633,0.03258461645080663,0.23135721815082377,0.1834793379345603,0.09551818508613798,0.05050423267439218,0.0,0.0,349,14.613180515759312,0.6164088103611209,151,5.298013245033113,0.44249686465163185
reactive,256,step,500,77.0,23.0,0.5366771206718701,1.5706350624999998,0.3376743376243123,4.4,0.5346634159850036,0.008205950693024313,0.39750404178063287,0.29994931237218814,0.02354725072243982,0.013609596000908882,0.0,0.0,349,5.444126074498567,0.5887350719578426,151,1.9867549668874172,0.41635774981886103
naive_persistence,256,step,500,77.0,23.0,0.5346376554390558,1.5944110416666657,0.34217445834082255,4.8,0.5250031842194957,0.00845489002499432,0.39734983206006214,0.3006985250511247,0.02467016123525304,0.014112383549193364,0.0,0.0,349,6.303724928366762,0.587025761221919,151,1.3245033112582782,0.41355521227204056
arima,256,step,500,76.6,23.4,0.5341635394993661,1.569939416666666,0.34200646944892626,4.8,0.5266352709611453,0.008460430356737105,0.39846237751432845,0.3002967919222904,0.024194277153220263,0.014101196091797318,0.30086739728655054,0.3002967919222904,349,6.303724928366762,0.5859994005082495,151,1.3245033112582782,0.41435747663777495
predictive,256,step,500,76.0,24.0,0.5312611386797349,1.569939416666666,0.3469429699875244,4.8,0.5136177479550103,0.00891980163599182,0.39769821525234045,0.299132511077028,0.02583519518617887,0.015157796864349012,0.0,0.0,349,6.303724928366762,0.5849931628166707,151,1.3245033112582782,0.4070725530917178
edge_only,314,step,500,100.0,0.0,2.1862522408333347,7.618514958333334,0.27389256562500003,47.2,1.9730607329545473,0.0,0.4147566175221043,0.34165385416666666,0.03192328753459037,0.0,0.0,0.0,358,49.44134078212291,2.266969807960895,142,41.54929577464789,1.982753022300472
cloud_only,314,step,500,0.0,100.0,0.938797243327148,2.5743654241980654,1.0367980661922467,19.8,0.0,0.08233336464646464,0.13339373719810974,0.0,0.10343074985118428,0.10065661085858586,0.0,0.0,358,25.69832402234637,1.084865754776872,142,4.929577464788732,0.5705400102355906
threshold,314,step,500,80.6,19.4,0.6380300716159746,2.560359201611399,0.5958647662460235,15.8,0.21422446212121213,0.04396682247474748,0.24047301002295798,0.18763805587121213,0.1213691933187429,0.07008525252525252,0.0,0.0,358,20.670391061452513,0.729038961377981,142,3.5211267605633805,0.40858512418781806
reactive,314,step,500,66.0,34.0,0.6292292382825216,1.8277235208333322,0.3904327677981544,7.0,0.6781329782196968,0.014887118686868686,0.4273289754430671,0.3039888352272727,0.03789681630997712,0.0252067351010101,0.0,0.0,358,9.217877094972067,0.7108295033156478,142,1.408450704225352,0.4235046264384434
naive_persistence,314,step,500,64.8,35.2,0.627944312645883,1.8051197916666655,0.3900331900873582,6.8,0.6834833115530301,0.01451540606060606,0.43704071664606037,0.3105210473484848,0.03611405889615435,0.02487954722222222,0.0,0.0,358,8.938547486033519,0.7089443848525216,142,1.408450704225352,0.42373286299816004
arima,314,step,500,64.8,35.2,0.6283437894630899,1.8051197916666655,0.3897283721708371,6.8,0.6807547736742423,0.014927375757575757,0.4350426958477574,0.3080616988636363,0.037182801770742055,0.02558418964646465,0.3092314750693606,0.3080616988636363,358,8.938547486033519,0.7089443848525216,142,1.408450704225352,0.4251394715094523
