policy,seed,tasks,edge_pct,cloud_pct,avg_latency,p95_latency,avg_energy,violation_pct,avg_edge_backlog,avg_cloud_backlog,edge_pred_mae,edge_naive_mae,cloud_pred_mae,cloud_naive_mae,arima_pred_mae,arima_naive_mae,burst_tasks,burst_violation_pct,burst_avg_latency,calm_tasks,calm_violation_pct,calm_avg_latency
predictive,613,500,63.4,36.6,0.5875938690860576,1.822750895833333,0.3834431790980092,6.4,0.6486260397012579,0.016163917976939203,0.45560631096769455,0.31156739386792454,0.0377478753807445,0.026628827568134176,0.0,0.0,378,8.465608465608465,0.6772290067817256,122,0.0,0.3098718850781677
edge_only,728,500,100.0,0.0,2.3486592108333344,5.3272983125000035,0.28262821125,65.0,2.310968239279936,0.0,0.44198829284340324,0.3562826537216828,0.03369108100586082,0.0,0.0,0.0,404,69.05940594059406,2.474181848184819,96,47.916666666666664,1.8204181119791691
cloud_only,728,500,0.0,100.0,0.9697290659029936,2.644004577389498,1.070445523131804,22.4,0.0,0.09015625836030204,0.1407805884887756,0.0,0.1163088651661058,0.11359169066882416,0.0,0.0,404,27.722772277227723,1.0966475251576853,96,0.0,0.4356138832061669
threshold,728,500,79.6,20.4,0.6582904123961127,2.6204795900028204,0.6293827273145477,16.8,0.23322393406148867,0.0469986089536138,0.27152878298846456,0.20752035497572816,0.12134727896153635,0.07504724973031285,0.0,0.0,404,19.801980198019802,0.7246784576010762,96,4.166666666666667,0.3789073888252248
reactive,728,500,65.2,34.8,0.6700180164411504,1.8495095970270576,0.419512900941326,8.6,0.7581018567961164,0.017652334681769147,0.45259595190554053,0.3194691150889968,0.04502821539431831,0.028414065264293423,0.0,0.0,404,10.643564356435643,0.7481186219246131,96,0.0,0.3413446350315777
naive_persistence,728,500,64.4,35.6,0.6653954744477778,1.8465848333333335,0.42055081972372776,8.4,0.7548630936488673,0.017718685275080907,0.4550145622477465,0.31946173240291265,0.044547993575499066,0.028521999460625672,0.0,0.0,404,10.396039603960396,0.7425340453393524,96,0.0,0.34077065527906836
arima,728,500,64.2,35.8,0.6671078715406451,1.8932550416666656,0.4199241704124594,8.2,0.7560848948220064,0.01789027346278317,0.45276756245806166,0.31745468750000005,0.04508087475884604,0.0283439331175836,0.31640555264570397,0.31745468750000005,404,10.148514851485148,0.7464281787476361,96,0.0,0.3333015787112246
predictive,728,500,63.8,36.2,0.6530218124397222,1.849443604166666,0.4257665660813626,8.2,0.722241628236246,0.019312400755124057,0.44720201574481744,0.3124267546521035,0.048333073001262175,0.030378769147788563,0.0,0.0,404,10.148514851485148,0.7297492343060706,96,0.0,0.33012724541883925
edge_only,841,500,100.0,0.0,1.3233900650000006,4.373503374999999,0.262288719,38.4,1.1636857333333337,0.0,0.38181636923158296,0.3061972157894737,0.029572107347332063,0.0,0.0,0.0,346,43.0635838150289,1.5019227625240852,154,27.92207792207792,0.9222711471861473
cloud_only,841,500,0.0,100.0,0.8583740442919504,2.3209563560359956,0.9301024526083939,17.6,0.0,0.07258249473684211,0.12356916284420898,0.0,0.09707829510784004,0.09223397192982456,0.0,0.0,346,24.277456647398843,1.0414235955747078,154,2.5974025974025974,0.4471068706306905
threshold,841,500,81.4,18.6,0.5443461021443949,2.094870667197125,0.5015977386351873,10.6,0.1891824403508772,0.03545591742690059,0.23958016830482357,0.1862033192982456,0.100991323007268,0.05660456140350877,0.0,0.0,346,14.45086705202312,0.6303120074584243,154,1.948051948051948,0.3512019252700175
reactive,841,500,70.0,30.0,0.5408958799674699,1.626340803479821,0.3553607324899184,6.4,0.5259266192982456,0.01145649216374269,0.39636251773326864,0.28081009122807016,0.03267935120142584,0.018809095204678362,0.0,0.0,346,9.248554913294798,0.6380966017452041,154,0.0,0.32250984272658634
naive_persistence,841,500,69.6,30.4,0.5372060645019685,1.626340803479821,0.35493038042575004,6.2,0.5168025877192982,0.012271087251461987,0.3992266843036813,0.2820936175438596,0.033441130890357766,0.02024232,0.0,0.0,346,8.959537572254336,0.6332010426018253,154,0.0,0.32152903578410835
arima,841,500,69.6,30.4,0.5373066999962984,1.626340803479821,0.35466399909232643,6.2,0.5168504447368422,0.012268869473684208,0.3993723265659198,0.28215606491228074,0.03359664697584536,0.020221231812865496,0.2824513921841992,0.28215606491228074,346,8.959537572254336,0.6334632501229017,154,0.0,0.3212666588027611
predictive,841,500,69.2,30.8,0.5368256278130098,1.626340803479821,0.35530629770901345,6.2,0.5139381289473683,0.012645828538011696,0.3984442621316774,0.28091005789473683,0.03594013603527714,0.02097136046783626,0.0,0.0,346,8.959537572254336,0.6332010426018253,154,0.0,0.32029385172904756
edge_only,955,500,100.0,0.0,1.475631993333333,3.5119702291666646,0.27619193525,43.4,1.2395748418293562,0.0,0.39439866956182784,0.31907254338394797,0.03075862297273684,0.0,0.0,0.0,397,47.103274559193956,1.5973369972712004,103,29.12621359223301,1.0065360072815532
cloud_only,955,500,0.0,100.0,0.9515511779982635,2.644685403895463,1.0503969078870368,21.6,0.0,0.0794569240780911,0.12852710313607896,0.0,0.0969044264432908,0.0923729824053989,0.0,0.0,397,27.20403022670025,1.0908989167996783,103,0.0,0.41445358281222716
threshold,955,500,80.4,19.6,0.6581507251881724,2.6193418321217017,0.605523915629263,15.0,0.2231200018076645,0.04080156158110387,0.2516076656264794,0.18298398951554593,0.1037449328852605,0.060167083152566886,0.0,0.0,397,18.89168765743073,0.7475307374308968,103,0.0,0.31364718285456444
reactive,955,500,67.4,32.6,0.6268533587858788,1.8035122083333321,0.4078536670350398,8.6,0.655258789768619,0.013885179079296216,0.4143464196792686,0.29139098608098335,0.03369059929706043,0.023214982887442757,0.0,0.0,397,10.831234256926953,0.7076696890216039,103,0.0,0.31535740632390835
naive_persistence,955,500,66.8,33.2,0.6280837609425991,1.8146588749999994,0.40659027837264267,9.0,0.6587202910339841,0.013966354543263436,0.4184558367393263,0.2936268429139552,0.03350961299911138,0.023194919739696316,0.0,0.0,397,11.335012594458439,0.7093637037176208,103,0.0,0.3148008747126614
arima,955,500,66.4,33.6,0.6271035708237322,1.8146588749999994,0.40763630960052377,9.0,0.6585434336587129,0.013989428778018799,0.4190826640526666,0.2936268429139552,0.03333128922076024,0.023216980477223426,0.29344886501297723,0.2936268429139552,397,11.335012594458439,0.708196042195209,103,0.0,0.3145432685472637
predictive,955,500,66.0,34.0,0.6164648165146275,1.787211645833333,0.4135995420397501,8.6,0.6379723571945047,0.014528144372137864,0.4191139048368215,0.29374704175704985,0.03480139184919436,0.0245657647625934,0.0,0.0,397,10.831234256926953,0.6958079090768788,103,0.0,0.31064726557080496
edge_only,1001,500,100.0,0.0,1.1332953866666666,3.536602833333332,0.27253649150000003,33.4,0.9655888092885374,0.0,0.41425183317664455,0.32970305747694334,0.027850310852113116,0.0,0.0,0.0,350,36.857142857142854,1.2393793607142858,150,25.333333333333332,0.8857661138888886
cloud_only,1001,500,0.0,100.0,0.8842651820353812,2.5297803328955433,0.9614016617746414,20.0,0.0,0.07257348375054896,0.11637451320347267,0.0,0.1052323003663095,0.0996518741765481,0.0,0.0,350,28.571428571428573,1.0791258403713355,150,0.0,0.4295903125848211
threshold,1001,500,80.6,19.4,0.6078459708600733,2.49729094363859,0.5599617895508814,13.8,0.16556210721343875,0.0407220138339921,0.21524161055544608,0.16233172183794464,0.11141995116684571,0.06472112955643392,0.0,0.0,350,19.142857142857142,0.7154908470718887,150,1.3333333333333333,0.3566745930325043
reactive,1001,500,68.8,31.2,0.5767698703457225,1.881747755167325,0.37137646620046666,7.4,0.5508904907773385,0.011641694773825208,0.4089242517652566,0.28995167572463765,0.03248809282725185,0.01901887922705314,0.0,0.0,350,10.571428571428571,0.6895444814700468,150,0.0,0.31362911105563235
naive_persistence,1001,500,68.2,31.8,0.5745125038366562,1.9072058333333322,0.3730045818974446,7.4,0.5429744927536232,0.011957872200263505,0.409583051217313,0.2893457847496706,0.03308747238972894,0.01965123407992973,0.0,0.0,350,10.571428571428571,0.6873364174145387,150,0.0,0.3112567054882638
arima,1001,500,68.2,31.8,0.5745125038366562,1.9072058333333322,0.3730045818974446,7.4,0.5429744927536232,0.011957872200263505,0.409583051217313,0.2893457847496706,0.03308747238972894,0.01965123407992973,0.28963171238789864,0.2893457847496706,350,10.571428571428571,0.6873364174145387,150,0.0,0.3112567054882638
predictive,1001,500,68.0,32.0,0.570557196586988,1.9072058333333322,0.37402248013659345,7.4,0.530789540513834,0.013086063021519542,0.4092955683302298,0.2876144639328063,0.03671556429920289,0.02129457707509881,0.0,0.0,350,10.571428571428571,0.6832339221764434,150,0.0,0.30764483687825883
edge_only,1122,500,100.0,0.0,1.1669026483333325,2.9396711458333273,0.256301360875,39.4,1.004931867543859,0.0,0.38477227230169536,0.3114290982456141,0.02814344253693273,0.0,0.0,0.0,351,43.58974358974359,1.2496898338081663,149,29.530201342281877,0.9718804865771806
cloud_only,1122,500,0.0,100.0,0.8508790306453988,2.4123963472006533,0.9288487670489565,20.4,0.0,0.07018448070175438,0.11759938488646891,0.0,0.09440804454479623,0.09139461637426902,0.0,0.0,351,28.49002849002849,1.0164729066167673,149,1.342281879194631,0.4607887590618397
